full_filename,filename,type,task_1,task_2,task_3,task_4,content
1.docx,1,docx,"client_id INT PRIMARY KEY; - должен быть PK для уникальной идентификации, INT для экономии памяти и производительности. client_name VARCHAR(50) NOT NULL; - ( В России самое длинное имя из 15 букв, поэтому можно ограничиться и 20, например :) ) client_surname VARCHAR(50) NOT NULL; login VARCHAR(30) UNIQUE NOT NULL; - логин должен быть уникальным city_id INT NOT NULL; - для экономии памяти и производительности. Так же ничего не сказано про отдельную таблицу «cities» - она должна быть + добавить внешний ключ: ALTER TABLE clients ADD CONSTRAINT fk_clients_city FOREIGN KEY (city_id) REFERENCES cities(city_id); age - я бы заменил на birth_date DATE NOT NULL, так как возраст ежегодно устаревает, а по дате его можно вычислить. reg_date DEFAULT CURRENT_DATE NOT NULL; - автоматически будет установлена дата регистрации.","item_id INT PRIMARY KEY, item_name VARCHAR(50) NOT NULL, item_cost NUMERIC(7,2) NOT NULL, Самый простой вариант - добавить поле last_cost_change в таблицу items и создать еще одну таблицу, в которой будем хранить историчность изменений цен. ALTER TABLE items ADD COLUMN last_cost_change DATE DEFAULT CURRENT_DATE; CREATE TABLE cost_history ( item_id INT, item_cost NUMERIC(10,2), date_change_cost DATE DEFAULT CURRENT_DATE ); При изменении цены : INSERT INTO cost_history (item_id, price) VALUES (1, 3990.00); Так же можно добавить триггер, чтобы значение в таблице историчности менялось автоматически.","SELECT d.department_id, d.department_name, SUM(e.salary) AS total_salary FROM employees e JOIN departments d ON e.department_id = d.department_id WHERE d.location_id IN ( SELECT location_id FROM locations WHERE city = ‘SEOUL’ ) AND e.manager_id IS NULL GROUP BY d.department_id, d.department_name HAVING SUM(e.salary) > 100000;","Так как перепрыгнуть «через» предполагает, что мы должны находиться в разных плоскостях, а мы находимся в одной.","1. client_id INT PRIMARY KEY; - должен быть PK для уникальной идентификации, INT для экономии памяти и производительности. client_name VARCHAR(50) NOT NULL; - ( В России самое длинное имя из 15 букв, поэтому можно ограничиться и 20, например :) ) client_surname VARCHAR(50) NOT NULL; login VARCHAR(30) UNIQUE NOT NULL; - логин должен быть уникальным city_id INT NOT NULL; - для экономии памяти и производительности. Так же ничего не сказано про отдельную таблицу «cities» - она должна быть + добавить внешний ключ: ALTER TABLE clients ADD CONSTRAINT fk_clients_city FOREIGN KEY (city_id) REFERENCES cities(city_id); age - я бы заменил на birth_date DATE NOT NULL, так как возраст ежегодно устаревает, а по дате его можно вычислить. reg_date DEFAULT CURRENT_DATE NOT NULL; - автоматически будет установлена дата регистрации. 2. item_id INT PRIMARY KEY, item_name VARCHAR(50) NOT NULL, item_cost NUMERIC(7,2) NOT NULL, Самый простой вариант - добавить поле last_cost_change в таблицу items и создать еще одну таблицу, в которой будем хранить историчность изменений цен. ALTER TABLE items ADD COLUMN last_cost_change DATE DEFAULT CURRENT_DATE; CREATE TABLE cost_history ( item_id INT, item_cost NUMERIC(10,2), date_change_cost DATE DEFAULT CURRENT_DATE ); При изменении цены : INSERT INTO cost_history (item_id, price) VALUES (1, 3990.00); Так же можно добавить триггер, чтобы значение в таблице историчности менялось автоматически. 3. SELECT d.department_id, d.department_name, SUM(e.salary) AS total_salary FROM employees e JOIN departments d ON e.department_id = d.department_id WHERE d.location_id IN ( SELECT location_id FROM locations WHERE city = ‘SEOUL’ ) AND e.manager_id IS NULL GROUP BY d.department_id, d.department_name HAVING SUM(e.salary) > 100000; 4. Так как перепрыгнуть «через» предполагает, что мы должны находиться в разных плоскостях, а мы находимся в одной."
10.docx,10,docx,"Исходная таблица clients формально не нарушает 1НФ (все поля атомарны), однако содержит архитектурные и логические недостатки, а также нарушения 3НФ и принципов качественного моделирования данных. Основные проблемы: Отсутствие явных ограничений целостности Не указано, является ли client_id первичным ключом. Для login не определены ограничения UNIQUE и NOT NULL, хотя логин является идентификатором пользователя. Для обязательных атрибутов (имя, фамилия, дата регистрации) не заданы NOT NULL. Поле age хранится некорректно Возраст — вычисляемый атрибут, который зависит от текущей даты, а не напрямую от client_id. Со временем данные в поле age становятся неактуальными, что приводит к логической неконсистентности. Это является примером транзитивной зависимости и нарушением 3НФ. Корректное решение — хранить birth_date, а возраст вычислять в запросах или витринах. Связь с городом описана не полностью city_id имеет смысл только при наличии справочника городов. Не указано, является ли поле внешним ключом (FOREIGN KEY). Дата регистрации Не указано, может ли reg_date быть NULL. Неясно, заполняется ли поле автоматически. Для событийных данных предпочтительнее использовать TIMESTAMP. Смешение разных типов данных в одной таблице В таблице одновременно хранятся: идентификационные данные (id, login), персональные данные (имя, фамилия, возраст), справочные связи (город), событийные данные (дата регистрации). Такое решение допустимо для MVP, но плохо масштабируется, усложняет аналитику и развитие системы. Рекомендуемые изменения: Явно задать ключи и ограничения целостности. Заменить age на birth_date. Добавить недостающие для интернет-магазина атрибуты: email (контакт и идентификатор), phone, status (active / blocked / deleted), технические поля аудита (updated_at, deleted_at), флаг согласия на обработку персональных данных (gdpr_consent). Использовать TIMESTAMP для событийных дат. Явно указать внешние ключи. Пример скорректированной схемы таблицы: CREATE TABLE clients ( client_id NUMBER PRIMARY KEY, login VARCHAR2(30) UNIQUE NOT NULL, email VARCHAR2(255) UNIQUE NOT NULL, phone VARCHAR2(20), first_name VARCHAR2(255) NOT NULL, last_name VARCHAR2(255) NOT NULL, birth_date DATE, city_id NUMBER, status VARCHAR2(20) DEFAULT 'active' NOT NULL, reg_date TIMESTAMP DEFAULT CURRENT_TIMESTAMP NOT NULL, updated_at TIMESTAMP, deleted_at TIMESTAMP, gdpr_consent CHAR(1) CHECK (gdpr_consent IN ('Y','N')), CONSTRAINT fk_clients_city FOREIGN KEY (city_id) REFERENCES cities(city_id) ); Исходный набор полей нельзя считать корректным с точки зрения долгосрочной архитектуры и качества данных. Он содержит логические ошибки (хранение возраста), неявные ограничения и плохо подготовлен к масштабированию. После предложенных изменений таблица становится нормализованной, расширяемой и пригодной как для транзакционной нагрузки, так и для аналитики.","С точки зрения реального интернет-магазина и аналитики данная архитектура некорректна. Основная проблема Поле item_cost хранит текущую цену товара, при этом цена: изменяется со временем (скидки, сезонные изменения, переоценки), используется в финансовой и управленческой отчётности, должна быть восстановима для любого исторического периода. При обновлении item_cost теряется история изменений цены, из-за чего: невозможно корректно посчитать выручку за прошлые периоды, нельзя проверить корректность старых отчётов, нарушаются требования аудита и финансового контроля. Таким образом, цена является временным (time-variant) атрибутом, и её хранение в одной строке с товаром приводит к потере данных и логической неконсистентности. Изменяющиеся во времени атрибуты не должны храниться в одной записи без историзации. В текущей модели нарушается этот принцип, что делает схему непригодной для аналитики и финансовой отчётности. Предлагаемое решение Необходимо разделить статические (медленно изменяемые) атрибуты товара и историю изменения цены. Для этого архитектура дорабатывается до двух таблиц. 1. Таблица товаров (статическая информация). Хранит редко изменяемые атрибуты товара. CREATE TABLE items ( item_id NUMBER PRIMARY KEY, item_name VARCHAR2(255) NOT NULL ); 2. Таблица истории цен товаров. Хранит стоимость товара и период её действия. CREATE TABLE item_prices ( item_id NUMBER NOT NULL, price NUMBER NOT NULL, valid_from DATE NOT NULL, valid_to DATE, CONSTRAINT pk_item_prices PRIMARY KEY (item_id, valid_from), CONSTRAINT fk_item_prices_item FOREIGN KEY (item_id) REFERENCES items(item_id) ); Смысл полей: price — стоимость товара в указанный период valid_from — дата начала действия цены valid_to — дата окончания действия цены (NULL означает, что цена является текущей) Преимущества такого подхода: восстановление цены на любую дату в прошлом, корректный расчёт исторической выручки, поддержка акций, скидок и сезонных цен, возможность финансового аудита и пересчёта отчётов, корректная работа BI-систем и витрин данных. Итоговый вывод Текущая структура таблицы items не обеспечивает историческое хранение стоимости товаров. Поскольку цена является изменяющимся во времени атрибутом, её хранение в одной строке приводит к потере информации и невозможности построения корректной финансовой отчётности за прошлые периоды. Для решения данной проблемы стоимость товара необходимо вынести в отдельную таблицу с указанием периода действия цены. Это архитектурное решение соответствует принципам нормализации данных, требованиям аналитики и практике проектирования систем интернет-магазинов.","Запрос некорректен и содержит как синтаксические, так и логические ошибки. Найденные ошибки в исходном запросе Некорректная проверка на NULL Используется MANAGER_ID = NULL, тогда как корректная проверка выполняется через IS NULL. Использование агрегатной функции в WHERE Условие SUM(SALARY) >= 100000 должно находиться в секции HAVING, а не WHERE. Нарушение правил GROUP BY Все неагрегированные поля из SELECT (DEPARTMENT_ID, DEPARTMENT_NAME) должны быть указаны в GROUP BY. Устаревший синтаксис соединений Используется неявный JOIN через FROM A, B, вместо ANSI-синтаксиса JOIN ... ON. Логическая ошибка условия задачи Фильтрация MANAGER_ID IS NULL выбирает сотрудников без менеджера, но не гарантирует, что в отделе отсутствуют сотрудники с менеджером. Корректное решение задачи: SELECT d.department_id, d.department_name, SUM(e.salary) AS total_salary FROM employees e JOIN departments d ON e.department_id = d.department_id JOIN locations l ON d.location_id = l.location_id WHERE l.city = 'SEOUL' GROUP BY d.department_id, d.department_name HAVING SUM(e.salary) > 100000 AND COUNT(e.manager_id) = 0; Исходный запрос содержит ошибки при работе с NULL-значениями, агрегатными функциями и группировкой данных, а также логически не обеспечивает выполнение условия о том, что все сотрудники отдела не имеют менеджера. Исправленный запрос использует явные JOIN, корректную агрегацию и условие COUNT(manager_id) = 0, что позволяет получить правильный и однозначный результат в соответствии с поставленной задачей.","Задача не содержит достаточной информации для однозначного ответа. Возможные варианты ответа могут быть следующими: Отсутствие необходимости в прыжке. Карандаш не создаёт физического препятствия, требующего прыжка: его легко перешагнуть обычным шагом. В этом смысле утверждение «перепрыгнуть» некорректно по отношению к объекту. Неопределённость пространственного расположения. Не указано, где именно в комнате находится карандаш. Если он лежит вплотную к стене или в углу, то физически перепрыгнуть его может быть невозможно. Неопределённость нашего положения относительно объекта. В условии не сказано, находимся ли мы в той же комнате, что и карандаш. Если мы находимся в другом помещении, то выполнить прыжок через него невозможно.","ЗАДАНИЕ 1 Исходная таблица clients формально не нарушает 1НФ (все поля атомарны), однако содержит архитектурные и логические недостатки, а также нарушения 3НФ и принципов качественного моделирования данных. Основные проблемы: Отсутствие явных ограничений целостности Не указано, является ли client_id первичным ключом. Для login не определены ограничения UNIQUE и NOT NULL, хотя логин является идентификатором пользователя. Для обязательных атрибутов (имя, фамилия, дата регистрации) не заданы NOT NULL. Поле age хранится некорректно Возраст — вычисляемый атрибут, который зависит от текущей даты, а не напрямую от client_id. Со временем данные в поле age становятся неактуальными, что приводит к логической неконсистентности. Это является примером транзитивной зависимости и нарушением 3НФ. Корректное решение — хранить birth_date, а возраст вычислять в запросах или витринах. Связь с городом описана не полностью city_id имеет смысл только при наличии справочника городов. Не указано, является ли поле внешним ключом (FOREIGN KEY). Дата регистрации Не указано, может ли reg_date быть NULL. Неясно, заполняется ли поле автоматически. Для событийных данных предпочтительнее использовать TIMESTAMP. Смешение разных типов данных в одной таблице В таблице одновременно хранятся: идентификационные данные (id, login), персональные данные (имя, фамилия, возраст), справочные связи (город), событийные данные (дата регистрации). Такое решение допустимо для MVP, но плохо масштабируется, усложняет аналитику и развитие системы. Рекомендуемые изменения: Явно задать ключи и ограничения целостности. Заменить age на birth_date. Добавить недостающие для интернет-магазина атрибуты: email (контакт и идентификатор), phone, status (active / blocked / deleted), технические поля аудита (updated_at, deleted_at), флаг согласия на обработку персональных данных (gdpr_consent). Использовать TIMESTAMP для событийных дат. Явно указать внешние ключи. Пример скорректированной схемы таблицы: CREATE TABLE clients ( client_id NUMBER PRIMARY KEY, login VARCHAR2(30) UNIQUE NOT NULL, email VARCHAR2(255) UNIQUE NOT NULL, phone VARCHAR2(20), first_name VARCHAR2(255) NOT NULL, last_name VARCHAR2(255) NOT NULL, birth_date DATE, city_id NUMBER, status VARCHAR2(20) DEFAULT 'active' NOT NULL, reg_date TIMESTAMP DEFAULT CURRENT_TIMESTAMP NOT NULL, updated_at TIMESTAMP, deleted_at TIMESTAMP, gdpr_consent CHAR(1) CHECK (gdpr_consent IN ('Y','N')), CONSTRAINT fk_clients_city FOREIGN KEY (city_id) REFERENCES cities(city_id) ); Исходный набор полей нельзя считать корректным с точки зрения долгосрочной архитектуры и качества данных. Он содержит логические ошибки (хранение возраста), неявные ограничения и плохо подготовлен к масштабированию. После предложенных изменений таблица становится нормализованной, расширяемой и пригодной как для транзакционной нагрузки, так и для аналитики. ЗАДАНИЕ 2 С точки зрения реального интернет-магазина и аналитики данная архитектура некорректна. Основная проблема Поле item_cost хранит текущую цену товара, при этом цена: изменяется со временем (скидки, сезонные изменения, переоценки), используется в финансовой и управленческой отчётности, должна быть восстановима для любого исторического периода. При обновлении item_cost теряется история изменений цены, из-за чего: невозможно корректно посчитать выручку за прошлые периоды, нельзя проверить корректность старых отчётов, нарушаются требования аудита и финансового контроля. Таким образом, цена является временным (time-variant) атрибутом, и её хранение в одной строке с товаром приводит к потере данных и логической неконсистентности. Изменяющиеся во времени атрибуты не должны храниться в одной записи без историзации. В текущей модели нарушается этот принцип, что делает схему непригодной для аналитики и финансовой отчётности. Предлагаемое решение Необходимо разделить статические (медленно изменяемые) атрибуты товара и историю изменения цены. Для этого архитектура дорабатывается до двух таблиц. 1. Таблица товаров (статическая информация). Хранит редко изменяемые атрибуты товара. CREATE TABLE items ( item_id NUMBER PRIMARY KEY, item_name VARCHAR2(255) NOT NULL ); 2. Таблица истории цен товаров. Хранит стоимость товара и период её действия. CREATE TABLE item_prices ( item_id NUMBER NOT NULL, price NUMBER NOT NULL, valid_from DATE NOT NULL, valid_to DATE, CONSTRAINT pk_item_prices PRIMARY KEY (item_id, valid_from), CONSTRAINT fk_item_prices_item FOREIGN KEY (item_id) REFERENCES items(item_id) ); Смысл полей: price — стоимость товара в указанный период valid_from — дата начала действия цены valid_to — дата окончания действия цены (NULL означает, что цена является текущей) Преимущества такого подхода: восстановление цены на любую дату в прошлом, корректный расчёт исторической выручки, поддержка акций, скидок и сезонных цен, возможность финансового аудита и пересчёта отчётов, корректная работа BI-систем и витрин данных. Итоговый вывод Текущая структура таблицы items не обеспечивает историческое хранение стоимости товаров. Поскольку цена является изменяющимся во времени атрибутом, её хранение в одной строке приводит к потере информации и невозможности построения корректной финансовой отчётности за прошлые периоды. Для решения данной проблемы стоимость товара необходимо вынести в отдельную таблицу с указанием периода действия цены. Это архитектурное решение соответствует принципам нормализации данных, требованиям аналитики и практике проектирования систем интернет-магазинов. ЗАДАНИЕ 3 Запрос некорректен и содержит как синтаксические, так и логические ошибки. Найденные ошибки в исходном запросе Некорректная проверка на NULL Используется MANAGER_ID = NULL, тогда как корректная проверка выполняется через IS NULL. Использование агрегатной функции в WHERE Условие SUM(SALARY) >= 100000 должно находиться в секции HAVING, а не WHERE. Нарушение правил GROUP BY Все неагрегированные поля из SELECT (DEPARTMENT_ID, DEPARTMENT_NAME) должны быть указаны в GROUP BY. Устаревший синтаксис соединений Используется неявный JOIN через FROM A, B, вместо ANSI-синтаксиса JOIN ... ON. Логическая ошибка условия задачи Фильтрация MANAGER_ID IS NULL выбирает сотрудников без менеджера, но не гарантирует, что в отделе отсутствуют сотрудники с менеджером. Корректное решение задачи: SELECT d.department_id, d.department_name, SUM(e.salary) AS total_salary FROM employees e JOIN departments d ON e.department_id = d.department_id JOIN locations l ON d.location_id = l.location_id WHERE l.city = 'SEOUL' GROUP BY d.department_id, d.department_name HAVING SUM(e.salary) > 100000 AND COUNT(e.manager_id) = 0; Исходный запрос содержит ошибки при работе с NULL-значениями, агрегатными функциями и группировкой данных, а также логически не обеспечивает выполнение условия о том, что все сотрудники отдела не имеют менеджера. Исправленный запрос использует явные JOIN, корректную агрегацию и условие COUNT(manager_id) = 0, что позволяет получить правильный и однозначный результат в соответствии с поставленной задачей. ЗАДАНИЕ 4 Задача не содержит достаточной информации для однозначного ответа. Возможные варианты ответа могут быть следующими: Отсутствие необходимости в прыжке. Карандаш не создаёт физического препятствия, требующего прыжка: его легко перешагнуть обычным шагом. В этом смысле утверждение «перепрыгнуть» некорректно по отношению к объекту. Неопределённость пространственного расположения. Не указано, где именно в комнате находится карандаш. Если он лежит вплотную к стене или в углу, то физически перепрыгнуть его может быть невозможно. Неопределённость нашего положения относительно объекта. В условии не сказано, находимся ли мы в той же комнате, что и карандаш. Если мы находимся в другом помещении, то выполнить прыжок через него невозможно."
101.docx,101,docx,"Предлагаемые мной изменения: 1. client_id: - Изменить тип данных с `number` на `BIGINT`. - Добавить `PRIMARY KEY AUTO_INCREMENT`. - Причина изменения: `BIGINT` лучше подходит для уникальных идентификаторов, особенно при большом количестве записей, так как он эффективно хранит целые числа. ‘PRIMARY KEY’ гарантирует уникальность ‘client_id’ в таблице. ‘AUTO_INCREMENT’ автоматически генерирует новое уникальное значение для каждого клиента, исключая необходимость ручного ввода. 2. client_name: - Уменьшить размер с `varchar(255)` до `varchar(100)`. 3. client_surname: - Уменьшить размер с `varchar(255)` до `varchar(100)`. - Причина изменений client_name и client_surname: Имена и фамилии обычно не превышают 100 символов, следовательно, использование большего количества символов может быть избыточно, что приведет к неоправданному расходу памяти 4. city_id: - Добавить внешний ключ: FOREIGN KEY (city_id) REFERENCES cities(city_id) - Причина изменения: Внешний ключ обеспечит целостность данных, гарантируя, что значение `city_id` в таблице `clients` соответствует существующему значению в таблице `cities`. 5. age: - Добавить ограничение: CHECK (age BETWEEN 0 AND 150) - Причина изменения: Ограничение гарантирует, что возраст клиента находится в допустимом диапазоне (от 0 до 150 лет), предотвращая некорректные данные. 6. reg_date: - Изменить тип данных с `date` на `datetime`. - Причина изменения: Тип `date` хранит только дату в формате YYYY-MM-DD, в то время, как `datetime` позволяет хранить как дату, так и время регистрации, что полезно, если точное время события важно для бизнес-логики. clients ( client_id BIGINT PRIMARY KEY AUTO_INCREMENT, -- уникальный id клиента client_name varchar(100), -- имя клиента client_surname varchar(100), -- фамилия клиента login varchar(30), -- логин, который придумал клиент city_id number, -- id города, который указал клиент age number CHECK (age BETWEEN 0 AND 150), -- возраст клиента reg_date datetime -- дата и время регистрации на сайте ); -- Добавление внешнего ключа ALTER TABLE clients ADD FOREIGN KEY (city_id) REFERENCES cities(city_id);","1. Таблица с основной информацией о товаре: items ( item_id NUMBER PRIMARY KEY, -- Уникальный ID товара item_name VARCHAR(255) NOT NULL -- Название товара ); 2. Таблица с историей изменения цен: item_prices ( price_id NUMBER PRIMARY KEY, -- Уникальный ID записи item_id NUMBER NOT NULL, -- Ссылка на товар item_cost NUMBER NOT NULL, -- Стоимость товара valid_from DATE NOT NULL, -- Дата начала действия цены valid_to DATE -- Дата окончания действия цены (NULL, если текущая цена) -- Внешний ключ FOREIGN KEY (item_id) REFERENCES items(item_id) ); Как работает: Каждый раз при изменении цены для товара создается новая запись в item_prices. Старой записи устанавливается valid_to = <дата начала новой цены> - 1. Текущая цена — это запись с valid_to IS NULL.","MANAGER_ID = NULL — нужно использовать IS NULL. SUM(SALARY) >= 100000 — агрегатные функции нельзя использовать в WHERE, нужно в HAVING. В SELECT есть DEPARTMENT_ID, но в GROUP BY он не указан. Устаревший стиль JOIN, лучше использовать JOIN ... ON. SELECT D.DEPARTMENT_ID, D.DEPARTMENT_NAME, SUM(E.SALARY) AS TOTAL_SALARY FROM EMPLOYEES E JOIN DEPARTMENTS D ON E.DEPARTMENT_ID = D.DEPARTMENT_ID JOIN LOCATIONS L ON D.LOCATION_ID = L.LOCATION_ID WHERE E.MANAGER_ID IS NULL AND L.CITY = 'SEOUL' GROUP BY D.DEPARTMENT_ID, D.DEPARTMENT_NAME HAVING SUM(E.SALARY) > 100000;","Через карандаш перепрыгнуть нельзя, потому что он упал к стене.","Задание 1 Предлагаемые мной изменения: 1. client_id: - Изменить тип данных с `number` на `BIGINT`. - Добавить `PRIMARY KEY AUTO_INCREMENT`. - Причина изменения: `BIGINT` лучше подходит для уникальных идентификаторов, особенно при большом количестве записей, так как он эффективно хранит целые числа. ‘PRIMARY KEY’ гарантирует уникальность ‘client_id’ в таблице. ‘AUTO_INCREMENT’ автоматически генерирует новое уникальное значение для каждого клиента, исключая необходимость ручного ввода. 2. client_name: - Уменьшить размер с `varchar(255)` до `varchar(100)`. 3. client_surname: - Уменьшить размер с `varchar(255)` до `varchar(100)`. - Причина изменений client_name и client_surname: Имена и фамилии обычно не превышают 100 символов, следовательно, использование большего количества символов может быть избыточно, что приведет к неоправданному расходу памяти 4. city_id: - Добавить внешний ключ: FOREIGN KEY (city_id) REFERENCES cities(city_id) - Причина изменения: Внешний ключ обеспечит целостность данных, гарантируя, что значение `city_id` в таблице `clients` соответствует существующему значению в таблице `cities`. 5. age: - Добавить ограничение: CHECK (age BETWEEN 0 AND 150) - Причина изменения: Ограничение гарантирует, что возраст клиента находится в допустимом диапазоне (от 0 до 150 лет), предотвращая некорректные данные. 6. reg_date: - Изменить тип данных с `date` на `datetime`. - Причина изменения: Тип `date` хранит только дату в формате YYYY-MM-DD, в то время, как `datetime` позволяет хранить как дату, так и время регистрации, что полезно, если точное время события важно для бизнес-логики. clients ( client_id BIGINT PRIMARY KEY AUTO_INCREMENT, -- уникальный id клиента client_name varchar(100), -- имя клиента client_surname varchar(100), -- фамилия клиента login varchar(30), -- логин, который придумал клиент city_id number, -- id города, который указал клиент age number CHECK (age BETWEEN 0 AND 150), -- возраст клиента reg_date datetime -- дата и время регистрации на сайте ); -- Добавление внешнего ключа ALTER TABLE clients ADD FOREIGN KEY (city_id) REFERENCES cities(city_id); Задание 2 1. Таблица с основной информацией о товаре: items ( item_id NUMBER PRIMARY KEY, -- Уникальный ID товара item_name VARCHAR(255) NOT NULL -- Название товара ); 2. Таблица с историей изменения цен: item_prices ( price_id NUMBER PRIMARY KEY, -- Уникальный ID записи item_id NUMBER NOT NULL, -- Ссылка на товар item_cost NUMBER NOT NULL, -- Стоимость товара valid_from DATE NOT NULL, -- Дата начала действия цены valid_to DATE -- Дата окончания действия цены (NULL, если текущая цена) -- Внешний ключ FOREIGN KEY (item_id) REFERENCES items(item_id) ); Как работает: Каждый раз при изменении цены для товара создается новая запись в item_prices. Старой записи устанавливается valid_to = <дата начала новой цены> - 1. Текущая цена — это запись с valid_to IS NULL. Задание 3 MANAGER_ID = NULL — нужно использовать IS NULL. SUM(SALARY) >= 100000 — агрегатные функции нельзя использовать в WHERE, нужно в HAVING. В SELECT есть DEPARTMENT_ID, но в GROUP BY он не указан. Устаревший стиль JOIN, лучше использовать JOIN ... ON. SELECT D.DEPARTMENT_ID, D.DEPARTMENT_NAME, SUM(E.SALARY) AS TOTAL_SALARY FROM EMPLOYEES E JOIN DEPARTMENTS D ON E.DEPARTMENT_ID = D.DEPARTMENT_ID JOIN LOCATIONS L ON D.LOCATION_ID = L.LOCATION_ID WHERE E.MANAGER_ID IS NULL AND L.CITY = 'SEOUL' GROUP BY D.DEPARTMENT_ID, D.DEPARTMENT_NAME HAVING SUM(E.SALARY) > 100000; Задание 4 Через карандаш перепрыгнуть нельзя, потому что он упал к стене."
102.docx,102,docx,"Мой код CREATE TABLE clients ( client_id number PRIMARY KEY NOT NULL, client_name varchar(100) NOT NULL, client_surname varchar(100) NOT NULL, phone_number varchar(50) NOT NULL, email varchar(255) NOT NULL, login varchar(30) UNIQUE NOT NULL, address TEXT NOT NULL, city_id number, birth_date DATE, reg_date date NOT NULL); Описание исправлений поле client_id должно быть уникальным и являться PRIMARY KEY; во избежание отправки и хранения пустых полей вводим ограничение NOT NULL; поле login должно быть уникальным (UNIQUE), чтобы предотвратить дублирование логинов; количество символов varchar можно где-то сократить до 100, для оптимизации места в БД; добавила поля с номером телефона, адресом и почтой; поле age лучше заменить на birth_date, так как возраст меняется с течением времени.","Мой код CREATE TABLE items ( item_id NUMBER PRIMARY KEY NOT NULL, item_name VARCHAR2(255) NOT NULL, category_id BIGINT FOREIGN KEY NOT NULL, price NUMBER (10,2) NOT NULL, previous_price NUMERIC(10,2) DEFAULT NULL, is_actual BOOLEAN NOT NULL, load_dttm TIMESTAMP NOT NULL); Описание исправлений поле item_id должно быть уникальным и являться PRIMARY KEY; во избежание отправки и хранения пустых полей ввела ограничение NOT NULL; добавила внешний ключ к таблице категорий; добавила is_actual и логическое значение BOOLEAN, чтобы определять является ли текущая запись актуальной; добавила временную метку, указывающую на момент загрузки или создания записи;","Мой код SELECT d.department_id, d.department_name, SUM(e.salary) AS total_salary FROM employee e, departments d INNER JOIN (SELECT location_id FROM locations WHERE city = 'SEOUL') t(location_id) ON d.location_id = t.location_id WHERE e.department_id = d.department_id AND e.manager_id IS NULL GROUP BY department_id, department_name HAVING SUM(e.salary) >= 100000 Описание исправлений для проверки значений на NULL используется оператор IS NULL, а не = NULL; SUM(SALARY) >= 100000 должно быть в HAVING, а не в WHERE. SUM является агрегированной функцией и не может быть использована в условии WHERE; в GROUP BY нужно использовать идентификатор отдела (DEPARTMENT_ID)","В некоторой комнате на пол уронили карандаш. Объясните почему вы не можете через него перепрыгнуть? Нужно выяснить в какой комнате и где конкретно лежит этот карандаш, а потом уже прыгать.","Тестовое задание Вера Судник Задание 1 Мой код CREATE TABLE clients ( client_id number PRIMARY KEY NOT NULL, client_name varchar(100) NOT NULL, client_surname varchar(100) NOT NULL, phone_number varchar(50) NOT NULL, email varchar(255) NOT NULL, login varchar(30) UNIQUE NOT NULL, address TEXT NOT NULL, city_id number, birth_date DATE, reg_date date NOT NULL); Описание исправлений поле client_id должно быть уникальным и являться PRIMARY KEY; во избежание отправки и хранения пустых полей вводим ограничение NOT NULL; поле login должно быть уникальным (UNIQUE), чтобы предотвратить дублирование логинов; количество символов varchar можно где-то сократить до 100, для оптимизации места в БД; добавила поля с номером телефона, адресом и почтой; поле age лучше заменить на birth_date, так как возраст меняется с течением времени. Задание 2 Мой код CREATE TABLE items ( item_id NUMBER PRIMARY KEY NOT NULL, item_name VARCHAR2(255) NOT NULL, category_id BIGINT FOREIGN KEY NOT NULL, price NUMBER (10,2) NOT NULL, previous_price NUMERIC(10,2) DEFAULT NULL, is_actual BOOLEAN NOT NULL, load_dttm TIMESTAMP NOT NULL); Описание исправлений поле item_id должно быть уникальным и являться PRIMARY KEY; во избежание отправки и хранения пустых полей ввела ограничение NOT NULL; добавила внешний ключ к таблице категорий; добавила is_actual и логическое значение BOOLEAN, чтобы определять является ли текущая запись актуальной; добавила временную метку, указывающую на момент загрузки или создания записи; Задание 3 Мой код SELECT d.department_id, d.department_name, SUM(e.salary) AS total_salary FROM employee e, departments d INNER JOIN (SELECT location_id FROM locations WHERE city = 'SEOUL') t(location_id) ON d.location_id = t.location_id WHERE e.department_id = d.department_id AND e.manager_id IS NULL GROUP BY department_id, department_name HAVING SUM(e.salary) >= 100000 Описание исправлений для проверки значений на NULL используется оператор IS NULL, а не = NULL; SUM(SALARY) >= 100000 должно быть в HAVING, а не в WHERE. SUM является агрегированной функцией и не может быть использована в условии WHERE; в GROUP BY нужно использовать идентификатор отдела (DEPARTMENT_ID) Задание 4 В некоторой комнате на пол уронили карандаш. Объясните почему вы не можете через него перепрыгнуть? Нужно выяснить в какой комнате и где конкретно лежит этот карандаш, а потом уже прыгать."
