full_filename,filename,type,tasks_count,task_1,task_2,task_3,task_4,content,comment
01042.docx,01042,docx,0,,,,,"Стоит поменять тип поля age на тип date и добавлять туда информацию о дате рождения, так как возраст каждый год меняется. Необходимо добавить историчность в данную сущность. Можно использовать для этого SCD второго типа. SELECT DEPARTMENT_ID, DEPARTMENT_NAME, SUM(SALARY) as TOTAL_SALARY FROM EMPLOYEE E, DEPARTMENTS D WHERE E.DEPARTMENT_ID = D.DEPARTMENT_ID AND MANAGER_ID is NULL AND LOCATION_ID = (SELECT LOCATION_ID FROM LOCATIONS WHERE upper(CITY) = 'SEOUL') GROUP BY DEPARTMENT_NAME, DEPARTMENT_ID Having SUM(SALARY) >= 100000 Например карандаш лежит у самой стены.",Найдено только 0 заданий из 4
100.docx,100,docx,0,,,,,"Ответ Комментарии по имеющимся столбцам client_id можно сразу тип данных integer. Удобно, можно формировать автоматически, меньше памяти по сравнению с другими способами задавать id. Минус – легко угадываемые idшки других покупателей, легко понять, сколько покупателей. Если это важно учесть, а также если планируется очень большое число пользователей, можно использовать строковые id, содержащие и другие символы (varchar, GUID, base). Not Null. Primary key client_name and client_surname можно всё-таки меньше, вплоть до varchar(50). На запись значений не повлияет, повлияет на выделение памяти. Решение зависит от того, какие именно имена будут храниться, это бизнесовый вопрос. Также бизнесовый о целесообразности создания для отчества/доп.части полного имени, т.к. полное официальное имя может использоваться при передаче в доставку, можно хранить не в этой таблице, можно вообще не хранить. Not Null/Null уточняется бизнесом. Login 30 хорошее ограничение. Зачем интернет-магазину вход пользователя по логину – отдельный вопрос, мб авторизация по телефону/почте будет лучше. Не хватает ссылки на хешированный пароль в пару к логину. Нужен триггер на уникальность. Not Null City_id хорошо, что есть справочник городов. Нужно ли хранить город проживания клиента, вопрос к бизнесу, будут ли они делать такую аналитику, т.к. в таблице заказов в любом случае будет ссылка на город заказа. Null Age не нужен, нужна Date of birth Date Not Null. Возраст – величина, меняющаяся каждый год, её проще рассчитывать от даты, чем постоянно обновлять. Reg date DATETIME not null Можно добавить поля Last login DATETIME not null для антифрода и бизнесовых акций/отчётов Mobile VARCHAR(15) null Mail VARCHAR(50) null Адрес добавлять не предлагаю, т.к. по одному клиенту скорее всего нужно хранить несколько адресов доставки, давая пользователю выбрать конкретный адрес в момент заказа. В справочнике адресов будет ссылка по id клиента. Дополнительно, решался ли вопрос о хранении общей инфы по юзерам сайта вместе (так можно назначать роли/ставить флаги), с выделением особенных полей в отдельные таблицы (customers, employees, vendors etc) Ответ Вопрос о подходящем типе работы с версионностью. Допустим, историю изменения цены на продукт храним в отдельной таблице Product_price_hist Id INT PK Product_id INT FK Date_start DATETIME Date_end DATETIME Inserted DATETIME – если нужно следить, когда внесли запись Price numeric Для иллюстрации идеи нашла картинку из другой БД Отдел финансов отчёты строить будет на основе таблицы фактов продаж, где будет ID продукта и дата продажи, соответственно определится цена по связям с таблицей Product_price_hist. SELECT D.DEPARTMENT_ID, D.DEPARTMENT_NAME, SUM(E.SALARY) AS TOTAL_SALARY FROM EMPLOYEE E, DEPARTMENTS D WHERE E.DEPARTMENT_ID = D.DEPARTMENT_ID AND E.MANAGER_ID IS NULL (= NULL неверно) AND D.LOCATION_ID = (SELECT LOCATION_ID FROM LOCATIONS WHERE CITY = 'SEOUL') GROUP BY D.DEPARTMENT_ID, D.DEPARTMENT_NAME (если столбец не агрегировался функцией, что в селекте, то и группируем) HAVING SUM(E.SALARY) > 100000; (агрегирующие функции мы используем с HAVING, а не WHERE) Возможные проверки: Все объекты (комната, карандаш, я) материальны? Комната больше меня, я больше карандаша? Я могу прыгать вообще? Я в одной комнате с карандашом? Пол в комнате допускает возможность прыжка? Я могу прыгнуть больше длины карандаша? На пути прыжка нет препятствий? При хотя бы одном ответе нет я не могу перепрыгнуть. При всех ответах да проверка пройдена, перепрыгивание возможно.",Найдено только 0 заданий из 4
103.docx,103,docx,0,,,,,"Изучая таблицу, оставленную прошлым Дата-инженером, можно выделить следующие моменты: client_id – используемый тип данный number, что является не самым лучшим выбором для значения id, которое является PRIMARY KEY для данной таблицы. Разумнее использовать целочисленный int, который бы явно отражал, что данное поле имеет уникальные значение. client_name и client_surname – сейчас допустимая длина имени составляет 255 символов, что является избыточным для этих значений. Можно сократить до 50 символов varchar(50). Login – возможно, что вместо логина можно использовать email клиента, но, если структура интернет-магазина основывается на логине. age – возраст клиента лучше изменить на дату рождения клиента и при необходимости вычислять значение возраста исходя неё. reg_date – можно заменить тип данных на datetime, чтобы хранить точную дату регистрации. Можно добавить дополнительные поля: email varchar(255) – для хранения почты клиента. ctn varchar(15) – для хранения телефона клиента. gender char(1) – хранить и знать пол клиента достаточно важно, так как это позволит проводить точечные рекламные кампании. Также необходима проверка значений Логина, почты и телефона на уникальность. Хранение исторических данных о ценах на товар можно реализовать с помощью дополнительной таблицы. CREATE TABLE item_prices ( price_id INT PRIMARY KEY, – уникальный id записи цены item_id number NOT NULL, – внешний ключ на таблицу items item_cost NUMBER NOT NULL, – стоимость товара start_date DATE NOT NULL, – дата, с которой цена начинает действовать end_date DATE, – дата, до которой цена действовала (может быть NULL для текущей цены) FOREIGN KEY (item_id) REFERENCES items(item_id) ); Убрав при этом поле item_cost из таблицы items. items ( item_id number, --уникальный id товара item_name varchar(255), --наименование товара ); Теперь используя запрос, который приведен ниже, мы можем получить новую стоимость необходимого товара SELECT item_cost FROM item_prices WHERE item_id = {id необходимого товара} AND end_date IS NULL; Требуется проверить запрос на корректность и исправить там ошибки, если они есть. Существует учебная схема HR, содержащая таблицы: employees, departments и locations Необходимо получить все отделы0, расположенные в Сеуле в которых все сотрудники, не имеющие менеджера, зарабатывают в общей сложности более 100000. Для решения задачи был написан следующий запрос: SELECT DEPARTMENT_ID, DEPARTMENT_NAME – необходимо использовать алиасу таблицы для выбираемых полей, так как поле DEPARTMENT_ID есть в двух таблицах. SELECT D.DEPARTMENT_ID, D.DEPARTMENT_NAME MANAGER_ID = NULL – проверка на NULL значение должна быть через IS или NOT IS. В данном случае должно быть: MANAGER_ID IS NULL. Также для данного поля стоит явно указать таблицу используя префикс: E.MANAGER_ID. LOCATION_ID – тоже лучше использовать с префиксом таблицы: E.LOCATION_ID AND SUM(SALARY) >= 100000 – данное условие необходимо переместить в блок HAVING после GROUP BY GROUP BY DEPARTMENT_NAME – группировка в данном случае будет по 2м полям: GROUP BY D.DEPARTMENT_ID, DEPARTMENT_NAME В результате исправленный запрос имеет следующий вид: SELECT D.DEPARTMENT_ID, D.DEPARTMENT_NAME, SUM(SALARY) AS TOTAL_SALARY FROM EMPLOYEE E, DEPARTMENTS D WHERE E. DEPARTMENT_ID = D. DEPARTMENT_ID AND E.MANAGER_ID IS NULL AND E.LOCATION_ID = (SELECT LOCATION_ID FROM LOCATIONS WHERE CITY = ‘SEOUL’ ) GROUP BY D.DEPARTMENT_ID, DEPARTMENT_NAME HAVING SUM(SALARY) >= 100000 Карандаш упал и закатился к стене или в угол. Из-за чего его стало невозможно перепрыгнуть; Меня нет в этой комнате.",Найдено только 0 заданий из 4
107.docx,107,docx,0,,,,,"Представьте, что вы устроились работать Дата-инженером в некоторый интернет магазин. До вас в этой компании уже работал один разработчик, который придумал небольшую базу данных для этого магазина и потом неожиданно уволился. Ваша задача провести проверку существующей архитектуры и решить корректна ли она или можно внести некоторые доработки. Вы обратили внимание на таблицу с информацией о зарегистрировавшихся покупателях (клиентах). Таблица имеет следующую схему: clients ( client_id number, --уникальный id клиента client_name varchar(255), --имя клиента client_surname varchar(255), --фамилия клиента login varchar(30), --логин, который придумал клиент city_id number, --id города, который указал клиент (в интерфейсе выбирается название города, а в таблицу сохраняется id) age number, --возраст клиента reg_date date –дата регистрации на сайте ); Считаете ли вы данный набор и смысл полей корректным? Если нет, то напишите что повашему мнению некорректно и какие изменения внесли бы. Ответ: В таблице не определен Первичный ключ (primary key) для этого подойдет client_id, необходимый для формирования запросов из нескольких таблиц , например товары или заказы. Так же в архитектуре БД интернет магазина необходимо определить сущности и связи. Если сущности это: клиенты, товары, заказы То связь между клиентами и заказами будет в формате «один ко многим»: у покупателя может быть множество заказов, а у заказа только один покупатель. Представьте, что вы устроились работать Дата-инженером в некоторый интернет магазин. До вас в этой компании уже работал один разработчик, который придумал небольшую базу данных для этого магазина и потом неожиданно уволился. Ваша задача провести проверку существующей архитектуры и решить корректна ли она илиможно внести некоторые доработки. Вы обратили внимание на таблицу с информацией о товарах магазина. Таблица имеет следующую схему: items ( ); item_id number, --уникальный id товара item_name varchar(255), --наименование товара item_cost number –стоимость товара Глядя на эту таблицу вы вспоминаете, что мы живём в рыночной экономике и цена, если не каждый день, то каждый месяц может меняться. К примеру, сезонные повышения цен или наоборот скидки (перед началом учебного года или новым годом). Так же вы знаете что у магазина есть отдел финансовой отчётности, в котором сотрудникам нужно строить различные отчёты (о доходах например) за разные промежутки времени, в том числе и за прошлые месяцы и даже прошлые года. Как бы вы доработали архитектуру таблицы, что бы обеспечить историческое хранение стоимости товара? Ответ: В этой таблице не определен внешний ключ, для формирования запросов из нескольких таблиц, ссылающийся на таблицу клиентов. Для формирования отчетности необходимо хранить историю изменения цен, для этого в БД я бы добавил таблицу price_history для хранения истории цен каждого товара, из нее получить стоимость товара на дату оформления заказа. Если товар менял стоимость несколько раз в этом году, то нам нужна история цен, чтобы знать сколько денег заработал наш интернет магазин за определенный товар в данном году. Требуется проверить запрос на корректность и исправить там ошибки, если они есть. Существует учебная схема HR, содержащая таблицы: employees, departments и locations Необходимо получить все отделы0, расположенные в Сеуле в которых все сотрудники, не имеющие менеджера, зарабатывают в общей сложности более 100000. Для решения задачи был написан следующий запрос: SELECT DEPARTMENT_ID, DEPARTMENT_NAME, SUM(SALARY) TOTAL_SALARY FROM EMPLOYEE E, DEPARTMENTS D WHERE E.DEPARTMENT_ID = D.DEPARTMENT_ID AND MANAGER_ID = NULL AND LOCATION_ID = (SELECT LOCATION_ID FROM LOCATIONS WHERE CITY = 'SEOUL') AND SUM(SALARY) >= 100000 GROUP BY DEPARTMENT_NAME Ответ: SELECT D.DEPARTMENT_ID, D.DEPARTMENT_NAME, SUM(E.SALARY) AS TOTAL_SALARY FROM SCHEMA_NAME.EMPLOYEE E JOIN SCHEMA_NAME.DEPARTMENTS D ON E.DEPARTMENT_ID = D.DEPARTMENT_ID WHERE E.MANAGER_ID IS NULL AND E.LOCATION_ID = (SELECT LOCATION_ID FROM SCHEMA_NAME.LOCATIONS WHERE CITY = 'SEOUL') GROUP BY D.DEPARTMENT_ID, D.DEPARTMENT_NAME HAVING SUM(E.SALARY) >= 100000 В некоторой комнате на пол уронили карандаш. Объясните, почему вы не можете через него перепрыгнуть? Ответ: Есть несколько вариантов почему мы не можем перепрыгнуть карандаш который уронили на пол. Карандаш лежит в углу вплотную, и перепрыгнуть его не получится, так как мы упираемся в стены. Карандаш после падения мог попасть под шкаф, через который мы так же не можем перепрыгнуть. Карандаш после падения попал под пол(в трещину в полу), мы его не видим и прыгнуть через него соответственно не можем.",Найдено только 0 заданий из 4
108.txt,108,txt,2,,,,,"Считаю данный набор и смысл полей корректным. В таблице items оставил бы хранение текущей цены. Создал бы таблицу items_price ( price_id - уникальный id для записи цены item_id - внешний ключ на таблицу items item_cost - стоимость item_date - дата установления цены ) 3. Вместо = NULL использовать IS NULL, использовать JOIN для соединения таблиц, переместить SUM(SALARY) >= 100000 в HAVING. Пример исправленного запроса SELECT DEPARTMENT_ID,DEPARTMENT_NAME, SUM(SALARY) AS TOTAL_SALARY FROM EMPLOYEES E JOIN DEPARTMENTS D ON E.DEPARTMENT_ID = D.DEPARTMENT_ID WHERE E.MANAGER_ID IS NULL AND D.LOCATION_ID = (SELECT LOCATION_ID FROM LOCATIONS WHERE CITY = 'SEOUL') GROUP BY D.DEPARTMENT_NAME HAVING SUM(E.SALARY) > 100000; 4. Карандаш лежит в углу.",Найдено только 2 заданий из 4
109.docx,109,docx,2,,,,,"Я считаю данную таблицу не вполне корректной по следующим причинам: К client_id нужно добавить первичный ключ и предусмотреть его автоматическое увеличение. Сделать некоторые поля обязательными (NOT NULL): имя, фамилию, логин. Проверить, нужно/можно ли сделать обязательными другие поля, такие как дата регистрации и город (т.е. проверить, всегда ли они заполнялись раньше, и во всех ли сценариях работы они заполняются). Обеспечить уникальность поля login. Поле age заменить на birth_date (дату рождения), чтобы возраст можно было в любое время рассчитать автоматически вне зависимости от его изменения, а также чтобы можно было проводить акции в честь дня рождения, или хотя бы на birth_year. Для поля reg_date задать значение по умолчанию, чтобы при вставке новой строки в таблицу текущая дата заполнялась автоматически. Добавить другие необходимые поля, такие как email, phone_number и address, если эти данные не содержатся в других таблицах. Длина полей с именем и фамилией клиента кажется избыточной, поэтому можно ее сократить. В данной таблице не хватает информации об изменении цен. Я бы добавила поле start_date, в котором будет указываться дата начала действия новой цены, и поле end_date с указанием даты окончания действия цены. Также можно учитывать в этих полях не только дату, но и время, с которого начинает/заканчивает действовать цена. У актуальной цены не задавать дату окончания. 3. Ошибки в запросе есть и могут быть исправлены следующим образом: Добавить псевдонимы таблиц к названиям столбцов в коде. Вставить AS перед псевдонимом TOTAL_SALARY. Изменить способ соединения таблиц с CROSS JOIN с WHERE на INNER JOIN с ON, т. к. первый способ менее эффективен в плане производительности. “= NULL” исправить на “IS NULL”. Подзапрос в условии WHERE можно заменить на INNER JOIN для улучшения читабельности. AND SUM(SALARY) >= 100000 заменить на HAVING SUM(SALARY) >= 100000 после группировки (агрегатные функции не используются в условии WHERE). Группировку делать по DEPARTMENT_ID, т. к. названия отделов в разных городах могут быть одинаковыми. 4. Возможные варианты: Карандаш упал так, что через него невозможно перепрыгнуть - возле стены или возле стола. Или улетел в дыру в полу. Неизвестно, что это за комната, и где она находится. Проводится эксперимент, и прыгнуть через карандаш – значит нарушить его. Я не хочу/не могу прыгать по какой-либо причине.",Найдено только 2 заданий из 4
11.docx,11,docx,0,,,,,"- Первое что нецелесообразно для меня – это возраст клиента, заменила бы на дату рождения; - добавила бы обязательные поля (NOT NULL) - добавть почту или телефон",Найдено только 0 заданий из 4
115.sql,115,sql,2,"1. В колонке client_id ставил бы секвенсом значениеи изменил констрейнт unique на первичный ключ. Он содержит в себе сразу два констрейнта unique и not null. 1.2. В колонках client_name, client_surname, login тип данных varchar(количество символов) Oracle. Я бы заменил на пресловутый байтовый varchar2. Да и вдобавок сами Oracle не рекомеднуют использовать тип данных varchar. 1.3. В колонке age изменил бы тип данных на DATE. Было бы удобно делать рассылки на день рождения клиента с текстом ""Поздравляем с ДР!"" Естетсвенное pl/sql блоком, может джобом. 1.4. В колонке reg_date дописал бы стандартное значение - sysdate. Т.е. reg_date date default sysdate. 1.5. Считаю, что стоит добавить сущность тип документа document_id и добавлять значение id, который указал клиент (в интерфейсе выбирается название тип документа (паспорт, загран паспорт и прочее), а в таблицу сохраняется id). Мы ведь солидная компанию. 1.6. Считаю, что стоит добавить сущность пол клиента gender_client и добавлять значение id, который указал клиент (в интерфейсе выбирается мужской/женский) , а в таблицу сохраняется id). Было бы полезно для сбора статистики покупок по гендеру. 1.7. Считаю, что МОЖНО добавить сущность отчество клиента. И в целом столбцы с информацией о имени клиента переименовать client_name => f_name, client_surname => m_name, новый столбец с отчеством m_name varchar2(255),. Отчество пригодиться для рассылок с официальным обращением. 1.8. Cчитаю, что стоит добавить сущность номер телефона клиента phone_number varchar2(200). 1.9. Считаю, что стоит добавить сущность имейл клиента email_client varchar2(200) constraint check_client_email check (instr(email_client,'@')>0)). Указание имейла для рассылок. 2.","1. Необходимо добавить первичный ключ на столбец item_id, чтобы можно было ссылаться на таблицу. 2.2. В колонке item_cost стоит тип данных number. Я бы заменил его на number(15.2), т.е. придал размерность для копеек. Потому что скидки, которые будут применяться могу срезать цену и до копеек. Тут 2 символа отвел бы на копейки. Больше нет необходимости. Да и не всегда округлять цену в большую сторону это приемущество. Ведь цена 99999999.84 выгляди лучше чем 100000000. На авито даже ставят аренду квартиры не 25000, а 248000. Хотя, по сути, платишь все равно 25000)) 2.3. В колонке item_cost добавил бы констрейнт not null. А то кто-нибудь заберет товар бесплатно, воспользовавшись нашей ошикбой. 2.4. --Глядя на эту таблицу вы вспоминаете, что мы живём в рыночной экономике и цена, если не каждый день, то каждый месяц может меняться. К примеру, сезонные повышения цен или наоборот скидки (перед началом учебного года или новым годом). Для ввода цены, которая скачет по законам рыночной экономики, я создал бы промежуточную таблицу items_price create table items_price (id number constraint pk_item_price_id primary key,--первичный ключ item_id number constraint fk_item_price_item_id references items(item_id), -- внешний ключ на парент таблицу items и столбец item_id item_name varchar2(255), --наименование товара item_cost_fix number(15,2) constraint n_n_item_cost not null, -- цена не может быть Null date_price timestamp default sysdate); -- дата ввода цены. Если цена меняется несколько раз в день, то тип данных таймстам даст возможность отследить этот моммент. В эту таблицу посредством интерфейса будет вносится информация об изменении цены на определенный товар. Каждое изменение цены это новая строка. Эта информация позволит собрать данные о ценах за на товар определенный период. Цель таблицы items_price содержать в себе накопительную иноформацию об изменении цены на любой товар. Эта таблица позволит не захламлять основную таблицу items. В главной таблице items будет выводиться актуальная на текущее время цена на товар. 3. Задание select d.department_name, sum(salary) from departments d join employees e on (d.department_id = e.department_id) where exists (select 1 from locations l where l.location_id = d.location_id and upper(city) = 'SEOUL') and e.manager_id is null having sum(salary) >= 100000 group by d.department_name; 4. Задание Прыгнуть через карандаш не получится, потому что он мог упасть у в плотную к стене. Или же мог упасть на пол в комнате, которая находится в другом городе и поэтому прыжок не будет реализован. Также, есть вероятность того, что прыгать, в целом не хочется. Зачем?",,,"1. Задание 1.1. В колонке client_id ставил бы секвенсом значениеи изменил констрейнт unique на первичный ключ. Он содержит в себе сразу два констрейнта unique и not null. 1.2. В колонках client_name, client_surname, login тип данных varchar(количество символов) Oracle. Я бы заменил на пресловутый байтовый varchar2. Да и вдобавок сами Oracle не рекомеднуют использовать тип данных varchar. 1.3. В колонке age изменил бы тип данных на DATE. Было бы удобно делать рассылки на день рождения клиента с текстом ""Поздравляем с ДР!"" Естетсвенное pl/sql блоком, может джобом. 1.4. В колонке reg_date дописал бы стандартное значение - sysdate. Т.е. reg_date date default sysdate. 1.5. Считаю, что стоит добавить сущность тип документа document_id и добавлять значение id, который указал клиент (в интерфейсе выбирается название тип документа (паспорт, загран паспорт и прочее), а в таблицу сохраняется id). Мы ведь солидная компанию. 1.6. Считаю, что стоит добавить сущность пол клиента gender_client и добавлять значение id, который указал клиент (в интерфейсе выбирается мужской/женский) , а в таблицу сохраняется id). Было бы полезно для сбора статистики покупок по гендеру. 1.7. Считаю, что МОЖНО добавить сущность отчество клиента. И в целом столбцы с информацией о имени клиента переименовать client_name => f_name, client_surname => m_name, новый столбец с отчеством m_name varchar2(255),. Отчество пригодиться для рассылок с официальным обращением. 1.8. Cчитаю, что стоит добавить сущность номер телефона клиента phone_number varchar2(200). 1.9. Считаю, что стоит добавить сущность имейл клиента email_client varchar2(200) constraint check_client_email check (instr(email_client,'@')>0)). Указание имейла для рассылок. 2.Задание 2.1. Необходимо добавить первичный ключ на столбец item_id, чтобы можно было ссылаться на таблицу. 2.2. В колонке item_cost стоит тип данных number. Я бы заменил его на number(15.2), т.е. придал размерность для копеек. Потому что скидки, которые будут применяться могу срезать цену и до копеек. Тут 2 символа отвел бы на копейки. Больше нет необходимости. Да и не всегда округлять цену в большую сторону это приемущество. Ведь цена 99999999.84 выгляди лучше чем 100000000. На авито даже ставят аренду квартиры не 25000, а 248000. Хотя, по сути, платишь все равно 25000)) 2.3. В колонке item_cost добавил бы констрейнт not null. А то кто-нибудь заберет товар бесплатно, воспользовавшись нашей ошикбой. 2.4. --Глядя на эту таблицу вы вспоминаете, что мы живём в рыночной экономике и цена, если не каждый день, то каждый месяц может меняться. К примеру, сезонные повышения цен или наоборот скидки (перед началом учебного года или новым годом). Для ввода цены, которая скачет по законам рыночной экономики, я создал бы промежуточную таблицу items_price create table items_price (id number constraint pk_item_price_id primary key,--первичный ключ item_id number constraint fk_item_price_item_id references items(item_id), -- внешний ключ на парент таблицу items и столбец item_id item_name varchar2(255), --наименование товара item_cost_fix number(15,2) constraint n_n_item_cost not null, -- цена не может быть Null date_price timestamp default sysdate); -- дата ввода цены. Если цена меняется несколько раз в день, то тип данных таймстам даст возможность отследить этот моммент. В эту таблицу посредством интерфейса будет вносится информация об изменении цены на определенный товар. Каждое изменение цены это новая строка. Эта информация позволит собрать данные о ценах за на товар определенный период. Цель таблицы items_price содержать в себе накопительную иноформацию об изменении цены на любой товар. Эта таблица позволит не захламлять основную таблицу items. В главной таблице items будет выводиться актуальная на текущее время цена на товар. 3. Задание select d.department_name, sum(salary) from departments d join employees e on (d.department_id = e.department_id) where exists (select 1 from locations l where l.location_id = d.location_id and upper(city) = 'SEOUL') and e.manager_id is null having sum(salary) >= 100000 group by d.department_name; 4. Задание Прыгнуть через карандаш не получится, потому что он мог упасть у в плотную к стене. Или же мог упасть на пол в комнате, которая находится в другом городе и поэтому прыжок не будет реализован. Также, есть вероятность того, что прыгать, в целом не хочется. Зачем?",Найдено только 2 заданий из 4
116.docx,116,docx,0,,,,,"Тут всё зависит от задачи и данных: Как правило login сам по себе является уникальным идентификатором пользователя и в данном случае может являться первичным ключом вместо client_id (который будет не нужен) Или, учитывая что заказ будет связан с login, можно провести декомпозицию, выделив персональные данные (создав им первичный ключ), т.к. они нужны исключительно для информации в профиле клиента и для, возможно, персональных предложений. В таблице clients останутся login, person_id, reg_date. Я б вынес item_cost в отдельную таблицу: CREATE TABLE item_costs (item_id INT (foreing key таблицы items), cost_value money, cost_set_day date). Стоимость товара со «старшей» датой и будет текущей. Но при большом количестве записей запрос к этим таблицам будет работать медленнее. В таком случае текущая цена должна остаться в таблице items и при изменении должна заносится в историю цен (триггером я бы сделал). Дату в таком случае удобнее использовать - дату изменения, но ту уж зависит от того что нужно условной бухгалтерии SELECT DEPARTMENT_ID, MAX(DEPARTMENT_NAME) DEPARTMENT_NAME, SUM(SALARY) TOTAL_SALARY FROM EMPLOYEE E, DEPARTMENTS D, LOCATIONS L WHERE E.DEPARTMENT_ID = D.DEPARTMENT_ID AND MANAGER_ID = NULL AND D.LOCATION_ID = L.LOCATION_ID AND L.CITY = 'SEOUL' GROUP BY DEPARTMENT_ID HAVING SUM(SALARY) >= 100000 Карандаш у стены",Найдено только 0 заданий из 4
119.docx,119,docx,0,,,,,"Представьте, что вы устроились работать Дата-инженером в некоторый интернет магазин. До вас в этой компании уже работал один разработчик, который придумал небольшую базу данных для этого магазина и потом неожиданно уволился. Ваша задача провести проверку существующей архитектуры и решить корректна ли она или можно внести некоторые доработки. Вы обратили внимание на таблицу с информацией о зарегистрировавшихся покупателях (клиентах). Таблица имеет следующую схему: clients ( client_id number, --уникальный id клиента client_name varchar(255), --имя клиента client_surname varchar(255), --фамилия клиента login varchar(30), --логин, который придумал клиент city_id number, --id города, который указал клиент (в интерфейсе выбирается название города, а в таблицу сохраняется id) age number, --возраст клиента reg_date date –дата регистрации на сайте ); Считаете ли вы данный набор и смысл полей корректным? Если нет, то напишите что повашему мнению некорректно и какие изменения внесли бы. Вывод: Я считаю, что данная база данных не практичная, поэтому решилась переделать её, сделав более оптимальной и удовлетворяющей требованиям. Листинг: DROP DATABASE IF EXISTS Magaz; CREATE DATABASE Magaz; use Magaz; CREATE TABLE gorod ( g_id int(100)NOT NULL AUTO_INCREMENT, g_name varchar(255)NOT NULL, PRIMARY KEY (g_id) ); CREATE TABLE client ( client_id int(100) NOT NULL AUTO_INCREMENT, client_surname varchar(255)NOT NULL, client_name varchar(255)NOT NULL, login varchar(30)NOT NULL, age_number tinyint unsigned NOT NULL, reg_date timestamp default current_timestamp, gorod_id int(100)NOT NULL, PRIMARY KEY (client_id), FOREIGN KEY (gorod_id) REFERENCES gorod(g_id) ON DELETE CASCADE ON UPDATE CASCADE ); INSERT INTO gorod VALUES (58,'Пенза'), (150,'Москва'), (92,'Санкт-Петербург'); select * from gorod; INSERT INTO client (client_surname,client_name,login,age_number,gorod_id) VALUES ('Алёшина','Анна','AnnaA',20,(select g_id from gorod where g_name='Пенза')); INSERT INTO client (client_surname,client_name,login,age_number,gorod_id) VALUES ('Сорокина','Елена','Sorchka',25,(select g_id from gorod where g_name='Санкт-Петербург')); select * from client; Представьте, что вы устроились работать Дата-инженером в некоторый интернет магазин. До вас в этой компании уже работал один разработчик, который придумал небольшую базу данных для этого магазина и потом неожиданно уволился. Ваша задача провести проверку существующей архитектуры и решить корректна ли она или можно внести некоторые доработки. Вы обратили внимание на таблицу с информацией о товарах магазина. Таблица имеет следующую схему: items ( ); item_id number, --уникальный id товара item_name varchar(255), --наименование товара item_cost number –стоимость товара Глядя на эту таблицу, вы вспоминаете, что мы живём в рыночной экономике и цена, если не каждый день, то каждый месяц может меняться. К примеру, сезонные повышения цен или наоборот скидки (перед началом учебного года или новым годом). Так же вы знаете что у магазина есть отдел финансовой отчётности, в котором сотрудникам нужно строить различны отчёты (о доходах, например) за разные промежутки времени, в том числе и за прошлые месяцы и даже прошлые года. Как бы вы доработали архитектуру таблицы, чтобы обеспечить историческое хранение стоимости товара? Вывод: Для данной базы я создала дополнительную таблицу, в которую записывается вся история цен. Листинг: DROP DATABASE IF EXISTS Price; CREATE DATABASE Price; use Price; CREATE TABLE items ( item_id int(100) NOT NULL AUTO_INCREMENT, item_name varchar(255) NOT NULL, PRIMARY KEY (item_id) ); CREATE TABLE histori ( item_id int(100) NOT NULL, price_cost int(100) NOT NULL, price_id int(100) NOT NULL AUTO_INCREMENT, price_date timestamp default current_timestamp, PRIMARY KEY (price_id), FOREIGN KEY (item_id) REFERENCES items(item_id) ON DELETE CASCADE ON UPDATE CASCADE ); INSERT INTO items VALUES (12,'Арбуз'), (13,'Дыня'), (14,'Тыква'); select * from items; INSERT INTO histori (item_id,price_cost,price_id) VALUES (12,110,112), (13,99,113), (14,85,114); INSERT INTO histori (item_id,price_cost,price_id) VALUES (12,100,212), (13,89,213), (14,80,214); select * from items; select * from histori order by item_id; Требуется проверить запрос на корректность и исправить там ошибки, если они есть. Существует учебная схема HR, содержащая таблицы: employees, departments и locations Необходимо получить все отделы, расположенные в Сеуле в которых все сотрудники, не имеющие менеджера, зарабатывают в общей сложности более 100000. Вывод: Данный код я переписала как посчитала правильным в соответствии с заданием. Листинг: SELECT D.DEPARTMENT_ID, D.DEPARTMENT_NAME, SUM(E.SALARY) as TOTAL_SALARY FROM EMPLOYEES E inner join DEPARTMENTS D on E.EMPLOYEES_ID=D.DEPARTMENTS_ID WHERE E.MANAGER_ID is NULL AND D.LOCATION_ID = (SELECT LOCATION_ID FROM LOCATIONS WHERE CITY = 'SEOUL') GROUP BY D.DEPARTMENT_NAME,D.DEPARTMENT_ID WHERE SUM(E.SALARY) > 100000; В некоторой комнате на пол уронили карандаш. Объясните почему вы не можете через него перепрыгнуть? Вывод: К данному вопросу можно строить множество различных теорий, так как нет точных вводных данных. Например, можно предположить, что мы находимся в разных комнатах с карандашом. Или, как вариант, он мог укатиться к стене, и его будет невозможно перепрыгнуть. На данный вопрос нет однозначного ответа.",Найдено только 0 заданий из 4
